# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Fomalhaut b,Confirmed,3,3,0,,,,,,,320000,,,115,,,0.11,0,0,,,,14.92731,2008,22/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,A3 V,0.44,0.04,0.04,8590,73,73,Imaging,,HD 216956
61 Vir b,Confirmed,0.016,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,15/12/2009,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.0573,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,15/12/2009,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,15/12/2009,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
GJ 785 b,Confirmed,0.0532,0.003,0.003,0.0532,0.003,0.003,,,,74.72,0.1,0.1,0.32,0.005,0.005,0.13,0.04,0.04,,,,0.035911,2010,23/02/2016,173,20,20,,,,,,,,,,,,,,,,,,,,,,3,0.12,0.12,355,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,HD 192310 b,,GJ 785,303.8208333,-27.0330556,6.13,,,,,8.911,0.024,0.024,0.08,0.03,0.03,0.78,0.02,0.02,0.68,0.02,0.02,K1V,,,,5144,50,50,IR Excess,,
GJ 785 c,Confirmed,0.076,0.02,0.02,0.076,0.02,0.02,,,,525.8,9.2,9.2,1.18,0.025,0.025,0.32,0.11,0.11,,,,0.133787,2011,24/02/2016,110,21,21,2455151.026,,,,,,,,,,,,,,,,,,,,,2.27,0.28,0.28,185,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 192310 c,,GJ 785,303.8208333,-27.0330556,6.13,,,,,8.911,0.024,0.024,0.08,0.03,0.03,0.78,0.02,0.02,0.68,0.02,0.02,K1V,,,,5144,50,50,IR Excess,,
GJ 433 b,Confirmed,0.01667,0.00597,0.00629,0.01667,0.00597,0.00629,,,,7.3697,0.0036,0.0034,0.06,0.008,0.004,0.05,0.05,0.16,,,,0.006416,2009,25/05/2014,309.39,,,2454287,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,0.15,0.15,-0.22,,,0.48,,,,,,M1.5,,,,3600,,,,,
GJ 433 c,Confirmed,0.14,,,0.14,,,,,,3693,253,253,3.6,,,0.17,0.09,0.09,,,,0.39823,2012,25/05/2014,206,36,36,2456740,462,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,0.15,0.15,-0.22,,,0.48,,,,,,M1.5,,,,3600,,,,,
GJ 849 b,Confirmed,0.9,0.05,0.05,0.9,0.05,0.05,,,,1914,26,26,2.35,,,0.012,,,,,,0.267045,2006,22/08/2014,351,60,60,11462,550,550,,,,2440537.34,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 849,332.4167,-4.6408,10.37,,,,,9.1,0.2,0.2,0.22,,,0.49,,,0.52,0.07,0.07,M3.5V,,,,,,,,,
GJ 849 c,Confirmed,0.77,,,0.77,,,,,,7049,6246,2155,,,,0.218,,,,,,,2013,22/08/2014,,,,,,,,,,2443586.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 849,332.4167,-4.6408,10.37,,,,,9.1,0.2,0.2,0.22,,,0.49,,,0.52,0.07,0.07,M3.5V,,,,,,,,,
HD 102365 b,Confirmed,0.05,0.008,0.008,0.05,0.008,0.008,,,,122.1,0.3,0.3,0.46,0.04,0.04,0.34,0.14,0.14,,,,0.049784,2011,11/01/2011,105,22,22,2450129,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102365,176.6291667,-40.5002778,4.89,,,,,9.24,0.06,0.06,-0.28,0.07,0.07,0.85,,,,,,G2V,9,3,3,5650,100,100,IR Excess,,
GJ 176 b,Confirmed,0.0265,,,0.0265,,,,,,8.7836,0.0054,0.0054,0.066,,,0,0,0,,,,0.007006,2007,17/12/2010,,,,,,,,,,,,,,,,,,,,,,2454399.79,0.33,0.33,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 176,70.7333333,18.9580556,9.97,,6.462,5.824,5.607,9.42,0.22,0.22,-0.1,0.2,0.2,0.49,0.014,0.014,0.53,,,M2.5V,,,,,,,,,
WISE 1217+16 A b,Confirmed,22,2,2,,,,0.96,0.03,0.03,47400,11000,80000,7.6,,,,,,,,,,2012,08/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,4.8,Published in a refereed paper,Imaging,,,"WISE J1217+1626B, WISEPC J121756.91+162640.2B","CH4, H2O, H2",WISE 1217+16 A,184.4875,16.44444446,19,,18,,,10,2,2,,,,0.03,0.005,0.005,0.091,0.004,0.004,T8.5,6,2,2,575,25,25,,,
GJ 536 b,Confirmed,0.0169,0.002,0.0022,0.0169,0.002,0.0022,,,,8.7076,0.0025,0.0022,0.06661,1.30E-05,1.00E-05,0.08,0.06,0.09,,,,,2016,02/04/2017,288.7,50.6,42.5,,,,,,,,,,,,,,,,,,,,,,2.6,0.3,0.33,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 536,210.2625,-2.655000017,,,,,,10.03,,,-0.08,0.09,0.09,0.52,0.05,0.05,0.5,0.05,0.05,M1,,,,3685,68,68,,,
GJ 436 b,Confirmed,0.07,0.0052,0.0052,0.07,0.0052,0.0052,0.38,,,2.64394,9.85E-05,9.85E-05,0.02887,0.00095,0.00095,0.1912,0.0571,0.0449,85.8,0.25,0.25,0.00283,2004,10/02/2017,354.4,15.3,15.3,2452992.1,,,,,,2454221.616,0.00012,0.00012,,,,,,,,,,,,,18.07,1.03,1.03,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,"CH4, H, CO2, CO, H2O",GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,,,-0.32,0.12,0.12,0.452,0.012,0.012,0.464,0.011,0.011,M2.5,6,5,5,3684,55,55,,,
GJ 649 b,Confirmed,0.328,0.032,0.032,0.328,0.032,0.032,,,,598.3,4.2,4.2,1.135,0.035,0.035,0.3,0.08,0.08,,,,0.109768,2009,23/02/2016,352,15,15,12876,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 649,254.5375,25.7441667,9.7,,,,,10.34,0.15,0.15,0.08,0.06,0.06,0.54,0.05,0.05,,,,M1.5,,,,3700,60,60,,,
GJ 649 c,Confirmed,0.03,0.008,0.008,0.03,0.008,0.008,,,,4.4762,0.0004,0.0004,0.043,0.001,0.001,0.2,0.15,0.15,,,,,2013,23/02/2016,334,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 649,254.5375,25.7441667,9.7,,,,,10.34,0.15,0.15,0.08,0.06,0.06,0.54,0.05,0.05,,,,M1.5,,,,3700,60,60,,,
HD 62509 b,Confirmed,2.9,0.1,0.1,2.9,0.1,0.1,,,,589.64,0.81,0.81,1.69,0.03,0.03,0.02,0.03,0.03,,,,0.163443,2006,21/08/2015,354.58,95.65,95.65,2447739.02,4.5,4.5,,,,,,,,,,,,,,,,,,,46,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 62509,116.325,28.0261111,1.15,,,,,10.34,1,1,0.19,,,1.47,0.45,0.45,9.3,,, K0IIIb,,,,4666,95,95,,,
WISE 0458+6434 b,Confirmed,13,7,3,,,,1.009,0.035,0.011,25800,,,5,0.4,0.4,,,,,,,,2011,16/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,4.5,Published in a refereed paper,Imaging,,,"WISE J0458+6434B, WISEP J045853.90+643451.9B ","CH4, H2O",WISE 0458+6434 A,74.72500002,64.58138891,,,17.5,17.77,,10.5,1.4,1.4,,,,0.019,0.006,0.008,0.098,0.003,0.003,T 8.5,1,,,730,130,180,,,"WISE J0458+6434A, WISEP J045853.90+643452.6A, WISEPC J045853.90+643451.9A"
GJ 86 A b,Confirmed,4.01,,,4.01,,,,,,15.766,0.04,0.04,0.11,,,0.046,0.004,0.004,,,,0.010092,2000,23/02/2016,266,,,2451146.7,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 86,32.60805938,-50.82372722,6.17,,,,,10.9,,,-0.24,,,0.8,,,0.855,0.005,0.005,K1V,2.03,,,5350,,,,,
HD 3651 b,Confirmed,0.231,0.00972,0.291,0.229,0.008,0.008,,,,62.218,0.015,0.015,0.295,0.003,0.003,0.596,0.036,0.036,83,56,56,0.025818,2003,01/02/2016,242.5,4.5,4.5,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,,,
HD 3651 c,Confirmed,0.09,0.03,0.03,0.09,0.03,0.03,,,,31,0.02,0.02,0.186,0.002,0.002,0.04,0.2,0.2,,,,,2013,04/07/2013,55,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,,,
HIP 57050 b,Confirmed,0.298,0.025,0.025,0.298,0.025,0.025,,,,41.397,0.016,0.016,0.163506,4.20E-05,4.20E-05,0.314,0.086,0.086,,,,0.014864,2010,27/04/2010,238.1,23.2,23.2,,,,2455201.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HIP 57050,175.4375,42.7519444,11.9,,,,,11,0.4,0.4,0.32,0.06,0.06,0.34,0.03,0.03,0.4,,,M4V,,,,3190,,,,,GJ 1148
HIP 65426,Confirmed,9,3,3,,,,1.5,0.1,0.1,,,,92,,,,,,,,,,2017,08/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 65426,201.15,-51.50444446,7.01,,,,,11.1,0.3,0.3,,,,1.96,0.04,0.04,1.77,0.05,0.05,A2V,0.014,0.004,0.004,8840,200,200,,,
HD 85512 b,Confirmed,0.011,0.0016,0.0016,0.011,0.0016,0.0016,,,,58.43,0.13,0.13,0.26,0.005,0.005,0.11,0.1,0.1,,,,0.023318,2011,02/09/2011,178,0.58,0.58,2455239.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 85512,147.7791667,-43.5027778,7.67,,,,,11.15,,,-0.33,0.03,0.03,0.69,,,,,,K5V,5.61,0.61,0.61,4715,102,102,,,
Ross 458 (AB) c,Confirmed,11.3,4.5,4.5,,,,1.07,0.07,0.07,,,,1168,,,,,,,,,10.245614,2010,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,4.35,Published in a refereed paper,Imaging,,,"HIP 63510C, WISEPC J130041.65+122114.6 , Ross 458C","CH4, H2O, H2, K",Ross 458 (AB),195.1958333,12.3758333,9.76,,,,,11.7,0.2,0.2,0,,,0.6,0.08,0.08,,,,M0.5,0.475,0.325,0.325,,,,,,"GI 494, HIP 63510, DT Virginis"
GJ 1132 b,Confirmed,0.0051,0.0017,0.0017,0.0051,0.0017,0.0017,0.103,0.0098,0.0098,1.62893,3.10E-05,3.10E-05,0.0154,0.0015,0.0015,0,,,,,,,2015,15/07/2016,,,,,,,,,,2457184.558,0.00032,0.00032,,,,,,,0.38,0.14,0.14,,,,2.76,0.92,0.92,580,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"O2, H2, N2, CO2",GJ 1132,153.7166667,-47.15666668,13.5,,,,,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5,0,10,3270,140,140,,,
TRAPPIST-1 b,Confirmed,0.0027,0.0023,0.0023,,,,0.09689,0.00031,0.00031,1.51087081,6.00E-05,6.00E-05,0.01111,0.00034,0.00034,0,0,0.081,89.65,0.27,0.27,,2016,01/09/2017,,,,,,,,,,2457322.517,0.0001,0.0001,,,,,,,0.126,0.078,0.092,,,,,,,400.1,7.7,7.7,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 c,Confirmed,0.00434,0.0019,0.0019,,,,0.09421,0.00031,0.00031,2.4218233,1.70E-06,1.70E-06,0.01521,0.00047,0.00047,0,0,0.083,89.67,0.17,0.17,,2016,01/09/2017,,,,,,,,,,2457282.807,0.00019,0.00019,,,,,,,0.161,0.084,0.076,,,,,,,341.9,6.6,6.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 d,Confirmed,0.0013,0.00085,0.00085,,,,0.0689,0.0027,0.0027,4.04961,6.30E-05,6.30E-05,0.02144,0.00063,0.00066,0,0,0.7,89.75,0.16,0.16,,2016,01/09/2017,,,,,,,,,,2457670.142,0.00035,0.00035,,,,,,,0.17,0.11,0.11,,,,,,,288,5.6,5.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 e,Confirmed,0.002,0.0018,0.0018,,,,0.0819,0.0035,0.0035,6.099615,1.10E-05,1.10E-05,0.02817,0.00087,0.00083,0,0.085,0.085,89.86,0.12,0.1,,2017,01/09/2017,,,,,,,,,,2457660.379,0.00038,0.00038,,,,,,,0.12,0.09,0.11,,,,,,,251.3,4.9,4.9,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,2MASS J23062928-0502285 e,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 f,Confirmed,0.0021,0.00057,0.00057,,,,0.09323,0.0034,0.0034,9.20669,1.50E-05,1.50E-05,0.0371,0.0011,0.0011,0,0,0.063,89.68,0.034,0.034,,2017,01/09/2017,,,,,,,,,,2457671.398,0.00023,0.00023,,,,,,,0.382,0.035,0.035,,,,,,,219,4.2,4.2,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 g,Confirmed,0.00422,0.0028,0.0028,,,,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,0,0,0.061,89.71,0.025,0.025,,2017,01/09/2017,,,,,,,,,,2457665.349,0.00021,0.00021,,,,,,,0.421,0.031,0.031,,,,,,,198.6,3.8,3.8,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 h,Confirmed,,,,,,,0.0674,0.003,0.003,20,6,15,0.063,0.013,0.027,,,,89.8,0.05,0.1,,2017,01/09/2017,,,,,,,,,,2457662.555,0.00056,0.00056,,,,,,,0.45,0.29,0.22,,,,,,,168,28,21,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
2M 0746+20 b,Confirmed,30,25,25,,,,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,20/01/2012,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.12,0.09,0.09,0.089,0.003,0.003,,,,,2205,50,50,,,
GJ 179 b,Confirmed,0.82,0.07,0.07,0.82,0.07,0.07,,,,2288,59,59,2.41,0.04,0.04,0.21,0.08,0.08,,,,0.195935,2010,23/02/2016,153,24,24,2455140,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 179,73.025,6.4766667,11.96,,,,,12.3,0.6,0.6,0.3,0.1,0.1,0.357,0.03,0.03,0.38,0.02,0.02,M3.5,,,,3370,100,100,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,11/06/2017,110,54,54,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc c,Confirmed,0.1784,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,11/06/2017,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc d,Confirmed,3.86,0.15,0.6,3.86,0.15,0.6,,,,4867,26,25,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,11/06/2017,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc f,Confirmed,0.1479,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,11/06/2017,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc e,Confirmed,0.02547,0.0008105,0.0008944,0.02547,0.00081,0.00082,0.177536225,0.007137135,0.007137135,0.7365478,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,11/06/2017,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,"H2O, HCN",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
LHS 1140 b,Confirmed,0.0209,0.00573,0.00573,,,,0.128,0.0089,0.0089,24.73712,0.00025,0.00025,0.0875,0.0041,0.0041,0.29,0.29,0,89.912,0.07,0.07,,2017,02/05/2017,,,,,,,,,,2456915.7,0.0054,0.0054,,,,,,,,,,,,,5.34,1.1,1.1,230,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,LHS 1140,11.24583335,-15.2713889,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5,0,8,3131,100,100,,,
HD 69830 b,Confirmed,0.143,0.0928,inf,0.0321,,,,,,8.667,0.003,0.003,0.0785,,,0.1,0.04,0.04,13,13,27,0.00623,2006,14/06/2017,340,26,26,2453496.8,0.6,0.6,,,,,,,,,,,,,,,,,,,3.51,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,
HD 69830 c,Confirmed,0.165,0.107,inf,0.0371,,,,,,31.56,0.04,0.04,0.186,,,0.13,0.06,0.06,13,13,27,0.014762,2006,14/06/2017,221,35,35,2453469.6,2.8,2.8,,,,,,,,,,,,,,,,,,,2.66,0.16,0.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,
HD 69830 d,Confirmed,0.253,0.164,inf,0.0569,,,,,,197,3,3,0.63,,,0.07,0.07,0.07,13,13,27,0.05,2006,14/06/2017,224,61,61,2453358,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,
VHS 1256-1257 b,Confirmed,11.2,1.8,9.7,,,,,,,,,,102,9,9,,,,,,,,2015,25/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,VHS 1256-1257 ,194.0083333,-12.95666669,17.8,,,,,12.7,1,1,,,,0.073,0.02,0.015,,,,M7.5,0.2,0.1,0.05,2620,140,140,,,
HD 40307 b,Confirmed,0.012,0.00094,0.00094,0.012,0.00094,0.00094,,,,4.3115,0.00027,0.00027,0.0475,0.0011,0.0011,0.2,0.16,0.14,,,,0.003672,2008,26/10/2015,194,60,60,,,,,,,,,,,,,,,,,,,54562.77,0.08,0.08,1.79,0.13,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,1,1,-0.31,0.03,0.03,0.77,0.05,0.05,,,,K2.5V,,,,4977,59,59,IR Excess,,
HD 40307 c,Confirmed,0.0202,0.0014,0.0014,0.0202,0.0014,0.0014,,,,9.6207,0.0013,0.0013,0.0812,0.0018,0.0018,0.06,0.06,0.11,,,,0.006328,2008,15/02/2016,234,,,,,,,,,,,,,,,,,,,,,54551.53,0.15,0.15,2.31,0.13,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,1,1,-0.31,0.03,0.03,0.77,0.05,0.05,,,,K2.5V,,,,4977,59,59,IR Excess,,
